[2025/05/29 10:47:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:00] - 0.04 	 0.13 	 7.71 	 129      	 0.7200 	 0.9260

[2025/05/29 11:02:09] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:09] - 0.04 	 0.14 	 7.60 	 137      	 0.4687 	 0.9265

[2025/05/29 11:02:17] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:17] - 0.04 	 0.15 	 7.60 	 145      	 0.2619 	 0.9258

[2025/05/29 11:02:26] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:26] - 0.04 	 0.16 	 7.92 	 154      	 0.2587 	 0.9257

[2025/05/29 11:02:35] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:35] - 0.04 	 0.17 	 7.73 	 167      	 0.3346 	 0.9230

[2025/05/29 11:02:44] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:44] - 0.04 	 0.18 	 7.72 	 173      	 0.1517 	 0.9213

[2025/05/29 11:02:53] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:02:53] - 0.04 	 0.19 	 7.95 	 183      	 0.1254 	 0.9204

[2025/05/29 11:03:02] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:02] - 0.04 	 0.20 	 7.72 	 192      	 0.1233 	 0.9200

[2025/05/29 11:03:11] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:11] - 0.04 	 0.21 	 8.09 	 198      	 0.1266 	 0.9179

[2025/05/29 11:03:20] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:20] - 0.04 	 0.22 	 7.75 	 213      	 0.0884 	 0.9163

[2025/05/29 11:03:28] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:28] - 0.04 	 0.23 	 7.75 	 219      	 0.0823 	 0.9143

[2025/05/29 11:03:37] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:37] - 0.04 	 0.24 	 7.76 	 225      	 0.0888 	 0.9154

[2025/05/29 11:03:46] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:46] - 0.04 	 0.25 	 7.77 	 233      	 0.0783 	 0.9126

[2025/05/29 11:03:55] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:03:55] - 0.04 	 0.26 	 7.77 	 241      	 0.0806 	 0.9137

[2025/05/29 11:04:04] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:04] - 0.04 	 0.27 	 7.87 	 249      	 0.0632 	 0.9119

[2025/05/29 11:04:13] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:13] - 0.04 	 0.28 	 7.82 	 261      	 0.0657 	 0.9125

[2025/05/29 11:04:21] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:21] - 0.04 	 0.29 	 7.75 	 273      	 0.0197 	 0.9107

[2025/05/29 11:04:30] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:30] - 0.04 	 0.30 	 7.79 	 283      	 0.0194 	 0.9086

[2025/05/29 11:04:39] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:39] - 0.04 	 0.31 	 7.84 	 289      	 0.0176 	 0.9042

[2025/05/29 11:04:48] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:48] - 0.04 	 0.32 	 7.78 	 300      	 0.0163 	 0.9057

[2025/05/29 11:04:57] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:04:57] - 0.04 	 0.33 	 7.96 	 308      	 0.0151 	 0.9011

[2025/05/29 11:05:06] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:06] - 0.04 	 0.34 	 7.78 	 317      	 0.0152 	 0.9014

[2025/05/29 11:05:15] - Alpha 	 Thres 	 Time 	 Neuron 	 PoisonACC 	 CleanACC
[2025/05/29 11:05:15] - 0.04 	 0.35 	 7.98 	 325      	 0.0161 	 0.9008

