[2025/05/29 05:42:06] - 0.56 	 249.8 	 0.9929 	 0.3890 	 0.9195
[2025/05/29 05:46:17] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:46:17] - 0.57 	 249.8 	 0.9937 	 0.3064 	 0.9190
[2025/05/29 05:50:28] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:50:28] - 0.58 	 249.9 	 0.9933 	 0.1266 	 0.9193
[2025/05/29 05:54:39] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:54:39] - 0.59 	 249.9 	 0.9937 	 0.3418 	 0.9173
[2025/05/29 05:58:50] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 05:58:50] - 0.60 	 249.8 	 0.9939 	 0.5393 	 0.9161
[2025/05/29 06:03:01] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:03:01] - 0.61 	 249.9 	 0.9940 	 0.4202 	 0.9206
[2025/05/29 06:07:11] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:07:11] - 0.62 	 249.8 	 0.9944 	 0.3208 	 0.9181
[2025/05/29 06:11:22] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:11:22] - 0.63 	 249.7 	 0.9949 	 0.2902 	 0.9162
[2025/05/29 06:15:33] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:15:33] - 0.64 	 250.1 	 0.9950 	 0.3631 	 0.9179
[2025/05/29 06:19:44] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:19:44] - 0.65 	 250.1 	 0.9938 	 0.4187 	 0.9195
[2025/05/29 06:23:55] - Alpha 	 Time 	 TrainACC 	 PoisonACC 	 CleanACC
[2025/05/29 06:23:55] - 0.66 	 249.9 	 0.9950 	 0.5752 	 0.9178
